loss,epoch,qwk,bs,lr
log,9,0.4394400058990069,4,0.01
log,6,0.4758702962636032,4,0.001
log,14,0.48288504331276716,4,0.0005
log,3,0.4670190409000474,4,0.0001
log,50,0.45446919652644724,4,1e-05
log,6,0.44381010576127156,8,0.01
log,0,0.4819648125417233,8,0.001
log,18,0.47507119139666054,8,0.0005
log,10,0.4821871300618704,8,0.0001
log,50,0.4787571158167859,8,1e-05
log,3,0.4249909001091988,16,0.01
log,1,0.4801389313955061,16,0.001
log,1,0.4800033461369546,16,0.0005
log,9,0.48246822310951476,16,0.0001
log,86,0.47881945942215276,16,1e-05
log,2,0.43589310002573256,32,0.01
log,1,0.49372190050839226,32,0.001
log,4,0.5077888237702601,32,0.0005
log,17,0.5011909351250139,32,0.0001
log,99,0.48495603548841115,32,1e-05
log,8,0.47276196423935557,64,0.01
log,4,0.4874748686113364,64,0.001
log,9,0.505829040959399,64,0.0005
log,25,0.5067192387578929,64,0.0001
log,99,0.4000986547486167,64,1e-05
log,5,0.478842960124099,128,0.01
log,6,0.4970652014824559,128,0.001
log,8,0.4991902466832504,128,0.0005
log,55,0.5094435844920897,128,0.0001
log,0,0.0,128,1e-05
log,1,0.48975613331774226,256,0.01
log,14,0.5160269040923877,256,0.001
log,24,0.5065296231302749,256,0.0005
log,48,0.46925428003505254,256,0.0001
log,34,0.061133427607227175,256,1e-05
log,7,0.48778512379001904,512,0.01
log,24,0.516204614768801,512,0.001
log,27,0.4929901747004951,512,0.0005
log,86,0.4498624264719163,512,0.0001
log,43,0.040516646639832454,512,1e-05
qwk,10,0.4052627222597719,4,0.01
qwk,6,0.48449785729725525,4,0.001
qwk,15,0.5055306454034298,4,0.0005
qwk,19,0.5033504268019884,4,0.0001
qwk,99,0.461008308791517,4,1e-05
qwk,13,0.45018206905408453,8,0.01
qwk,6,0.544275723470467,8,0.001
qwk,9,0.5238512048118347,8,0.0005
qwk,31,0.534719432798995,8,0.0001
qwk,99,0.44456209620770704,8,1e-05
qwk,18,0.5044139043732666,16,0.01
qwk,10,0.5347044991743831,16,0.001
qwk,11,0.5430444972389881,16,0.0005
qwk,50,0.5444821997691576,16,0.0001
qwk,99,0.39519985662983614,16,1e-05
qwk,12,0.5148881948989099,32,0.01
qwk,16,0.5481904968022937,32,0.001
qwk,17,0.547778707523473,32,0.0005
qwk,60,0.5193840996007342,32,0.0001
qwk,99,0.3845091961625392,32,1e-05
qwk,10,0.5200136506311432,64,0.01
qwk,12,0.5310662574426239,64,0.001
qwk,37,0.5452692860350432,64,0.0005
qwk,61,0.51426323075098,64,0.0001
qwk,99,0.3768372182531091,64,1e-05
qwk,4,0.5128004022278071,128,0.01
qwk,23,0.543808999433446,128,0.001
qwk,31,0.5265324045334663,128,0.0005
qwk,72,0.5033485342896267,128,0.0001
qwk,99,0.3172603704240222,128,1e-05
qwk,8,0.5096033227461518,256,0.01
qwk,32,0.5516523976347258,256,0.001
qwk,21,0.48960105824176803,256,0.0005
qwk,45,0.4209213374390034,256,0.0001
qwk,99,0.188884563983983,256,1e-05
qwk,18,0.5114706286675419,512,0.01
qwk,38,0.5310616777173918,512,0.001
qwk,64,0.5092108495034914,512,0.0005
qwk,99,0.44315689551347803,512,0.0001
qwk,4,0.01508869797805168,512,1e-05

