bs,loss,lr,qwk_cv,tag,size,epoch
5,log,1e-4,0.4914,E128-24,128x128,73
5,qwk,1e-5,0.4389,E128-31,128x128,70
10,log,1e-4,0.4554,E128-07,128x128,81
10,qwk,1e-4,0.5031,E128-02,128x128,84
15,log,1e-4,0.4554,E128-22,128x128,95
15,qwk,1e-4,0.526,E128-15,128x128,77
20,log,1e-4,0.4739,E128-35,128x128,79
20,qwk,1e-4,0.5371,E128-34,128x128,93
25,log,1e-4,0.4534,E128-27,128x128,93
25,qwk,1e-4,0.4990,E128-17,128x128,65
100,log,1e-3,0.4442,E128-09,128x128,98
100,qwk,1e-3,0.4750,E128-03,128x128,71
5,log,1e-4,0.571,E256-01,256x256,52
5,qwk,1e-4,0.433,E256-02,256x256,15
10,log,1e-4,0.566,E256-03,256x256,75
10,qwk,1e-4,0.616,E256-04,256x256,70
15,log,1e-4,0.556,E256-05,256x256,98
15,qwk,1e-4,0.622,E256-06,256x256,93
20,log,1e-4,0.525,E256-07,256x256,97
20,qwk,1e-4,0.618,E256-08,256x256,97
30,log,1e-4,0.514,E256-09,256x256,93
30,qwk,1e-4,0.586,E256-10,256x256,98
40,log,1e-4,0.464,E256-11,256x256,93
40,qwk,1e-4,0.592,E256-12,256x256,78
5,log,1e-4,0.645,E384-01,384x384,0
15,qwk,1e-4,0.698,E384-02,384x384,0
5,log,1e-4,0.681,E512-01,512x512,0
15,log,1e-4,0.668,E512-03,512x512,0
15,qwk,1e-4,0.717,E512-04,512x512,0
20,qwk,1e-4,0.701,E512-05,512x512,0

